,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,close price,win,win_loss
81,2.9,0.915682351,0.019321529,-1356.875044,0.180531066,0.024803338,0.172308316,79.0931004,72.83158389,68.82289884,6.261516518,4.008685044,-0.608,0.935960745,3.5,0.6000000000000001,1
82,3.22,0.923298342,0.017791238,-1369.894832,0.180483145,0.024888003,0.174008765,59.07269079,64.70220992,65.10754893,-5.629519122,-0.405339016,-0.608,0.783430668,3.16,-0.06000000000000005,0
84,3.73,0.83171517,0.024664893,-944.7667632,0.224913248,0.037122842,0.176851105,68.31478381,62.32105831,61.21813652,5.993725498,1.102921788,1.771,0.993550424,3.31,-0.41999999999999993,0
85,3.55,0.955798352,0.016834293,-939.5259918,0.182457476,0.02638667,0.117997001,82.06686497,72.13376506,66.65632292,9.933099908,5.477442148,5.83,1.085676792,3.85,0.30000000000000027,1
92,3.64,0.801767025,0.035637255,-958.9315522,0.20677496,0.030920383,0.148533336,84.02104544,74.80033956,70.14732404,9.220705873,4.653015522,1.385,1.064147316,3.39,-0.25,0
96,3.95,0.736766049,0.037633759,-812.015846,0.222991176,0.0359272,0.15328849,74.43829099,68.82021979,65.05696911,5.618071202,3.763250675,-2.111,0.831804054,4.76,0.8099999999999996,1
97,3.4,0.785142105,0.033762234,-807.2644469,0.22292936,0.036512453,0.152429225,66.0365806,63.6909136,62.60478831,2.345666999,1.086125295,-2.111,0.919520256,3.47,0.07000000000000028,1
100,3.68,0.645097471,0.045077015,-777.1662502,0.225985527,0.035576365,0.14475906,88.68880205,77.84126893,71.36340605,10.84753313,6.477862882,-2.924,1.190698058,3.61,-0.07000000000000028,0
115,5.83,0.655814983,0.030871445,-1464.15242,0.194140222,0.026839748,0.241671698,77.0550154,66.46398855,61.9798386,10.59102685,4.484149945,-4.179,1.25971684,3.96,-1.87,0
124,6.32,0.793907475,0.017670525,-1479.385457,0.206899601,0.032012411,0.301198862,88.71840726,74.8243707,67.86655807,13.89403656,6.957812631,-4.129,1.203605826,4.42,-1.9000000000000004,0
125,6.4,0.873991747,0.014918022,-1664.201088,0.189084854,0.027541027,0.282054059,68.55535501,61.50463474,58.91407364,7.05072027,2.590561105,-4.928,1.107934169,8.13,1.7300000000000004,1
126,5.88,0.637349183,0.026181996,-1336.213836,0.213451526,0.031994629,0.263680407,76.89629993,68.96612111,65.44960192,7.930178819,3.51651919,-4.928,0.966402741,7.18,1.2999999999999998,1
127,5.55,0.710242096,0.024127769,-1316.992848,0.213902583,0.032767241,0.259332039,82.29036143,73.27363204,69.19036775,9.016729391,4.083264288,-4.928,0.982207846,6.28,0.7300000000000004,1
132,5.11,0.574813321,0.033705634,-2000.186861,0.17089439,0.020490627,0.268297905,66.92619302,62.08925441,59.65365809,4.836938617,2.435596315,-4.431,1.022688685,3.52,-1.5900000000000003,0
139,6.7,0.750733758,0.02372194,-1626.398343,0.183560185,0.02559227,0.283788625,57.38075604,56.99394187,56.74877503,0.386814176,0.245166833,-4.504,0.75513395,4.54,-2.16,0
140,6.2,0.268053035,0.024467946,-1672.485444,0.183164369,0.022722225,0.292506905,66.18276044,58.87241781,55.03603466,7.310342626,3.836383154,-4.735,0.969834426,4.24,-1.96,0
141,4.48,0.806813948,0.02573725,-1811.146684,0.163578082,0.020832932,0.253777502,59.94117001,64.16534592,63.81221563,-4.224175913,0.353130291,-4.153,0.777942887,5.42,0.9399999999999995,1
150,4.68,0.510161144,0.034259955,-1438.193741,0.181572445,0.024162497,0.253676475,80.77272409,68.47776119,62.53190285,12.2949629,5.945858341,-2.245,1.218375688,3.22,-1.4599999999999995,0
160,6.16,0.769310888,0.026197113,-1077.49598,0.198379703,0.031332863,0.228542542,69.72376116,66.46570707,65.23169883,3.258054095,1.234008242,-2.296,0.880705399,7.47,1.3099999999999996,1
161,5.69,0.642396572,0.029331507,-944.9373879,0.217700574,0.035854717,0.23010238,78.97294496,70.63637072,66.53090457,8.336574238,4.105466155,-2.296,0.922630356,4.5,-1.1900000000000004,0
