,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
46,5.14,-0.528434697,0.029135686,-1284.047354,0.216894475,-0.038982158,0.249660937,13.06538298,24.26761707,29.62330774,-11.20223409,-5.355690666,3.57,-1.5699999999999998,0
47,5.25,-0.427416106,0.033314382,-1451.024242,0.197955877,-0.031449136,0.235138489,25.12780835,32.84783703,38.25747192,-7.720028675,-5.409634888,6.33,1.08,1
49,4.87,-0.516193257,0.029511076,-1269.351356,0.214990596,-0.038499868,0.248989048,42.21659324,41.04755568,40.75313529,1.169037564,0.294420386,5.12,0.25,1
59,5.43,-0.592921145,0.028614354,-1278.209855,0.220358195,-0.040232056,0.244623611,23.93961636,34.17984424,38.96563976,-10.24022788,-4.785795514,6.57,1.1400000000000006,1
60,5.5,-0.542007213,0.027005847,-1380.552987,0.218519667,-0.039708164,0.266421983,23.6371286,29.5645601,33.45905689,-5.927431497,-3.894496786,5.93,0.4299999999999997,1
63,4.31,-0.418437351,0.030623994,-1569.341798,0.202048728,-0.03221813,0.249155118,34.33597849,37.01689375,39.83744658,-2.680915267,-2.820552831,5.29,0.9800000000000004,1
64,4.51,-0.481127881,0.031028896,-1584.086575,0.201595214,-0.032691276,0.252062326,23.90948088,28.84598289,32.45685878,-4.936502004,-3.610875889,3.09,-1.42,0
65,4.43,-0.684938855,0.033204369,-1856.308983,0.178617941,-0.027008141,0.238533838,34.11285886,38.74132792,39.34707368,-4.628469066,-0.60574576,3.09,-1.3399999999999999,0
66,6.31,-0.602509843,0.068750689,-7755.279351,0.088505883,-0.006513941,0.251332869,40.09702402,38.31268499,39.48204868,1.784339026,-1.169363692,7.72,1.4100000000000001,1
67,6.19,-0.546949359,0.024643438,-1198.780506,0.232498834,-0.045909253,0.274014413,29.46860043,34.02989437,36.77366752,-4.56129394,-2.743773141,7.53,1.3399999999999999,1
68,6.05,-0.543633392,0.024894329,-1187.707961,0.230915242,-0.045538009,0.273345441,36.71833755,38.56302214,40.13885589,-1.844684586,-1.575833756,6.27,0.21999999999999975,1
69,5.83,-0.579278511,0.026061789,-1410.917726,0.211793715,-0.039135291,0.280924335,42.12226762,43.14469999,43.24477567,-1.02243237,-0.100075678,4.08,-1.75,0
