,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
249,2.6,-0.163142177,0.030886523,-969.3198388,0.181502145,-0.026044134,0.172089907,18.95033574,23.0873357,26.7869284,-4.136999956,-3.699592703,3.23,0.6299999999999999,1
250,2.54,-0.220578737,0.036152732,-1001.087816,0.181572257,-0.026629226,0.177652611,25.72052417,28.65182197,30.10999609,-2.931297797,-1.458174119,3.2,0.6600000000000001,1
251,2.73,-0.270959213,0.040298238,-1006.594216,0.181539518,-0.027038302,0.178670453,26.62423368,30.49133176,31.6898774,-3.86709808,-1.198545636,3.36,0.6299999999999999,1
252,2.71,-0.315427017,0.044985625,-970.5415806,0.181485621,-0.027291199,0.172361654,33.65406803,35.73255556,35.9317353,-2.078487527,-0.199179742,3.26,0.5499999999999998,1
253,2.39,-0.391627583,0.054012961,-877.6671586,0.181375394,-0.027624239,0.156057515,19.03190026,28.87786613,33.69240601,-9.845965868,-4.814539874,3.74,1.35,1
254,3.85,-0.394049507,0.089287845,-5951.924434,0.080882259,-0.005718166,0.211239629,59.03986248,51.50397288,48.53129313,7.535889595,2.972679749,2.67,-1.1800000000000002,0
262,4.3,0.984393688,0.005822657,-1122.702973,0.161943227,0.023957945,0.158293626,30.85070417,34.50979202,34.16007422,-3.659087853,0.3497178,5.21,0.9100000000000001,1
263,4.08,-0.521705848,0.033598611,-1114.924666,0.201894852,-0.035963881,0.233917746,29.00316718,32.2698563,35.59632783,-3.266689115,-3.326471532,4.9,0.8200000000000003,1
264,4.14,-0.486624965,0.033333284,-1122.618854,0.201121616,-0.03552638,0.236415707,35.43324405,30.79856709,32.03580054,4.634676959,-1.237233446,4.99,0.8500000000000005,1
265,4.44,-0.499324412,0.032553531,-1150.462793,0.200435146,-0.035628688,0.243084319,34.56666148,32.23486935,32.04005551,2.33179213,0.194813839,5.46,1.0199999999999996,1
266,4.47,-0.514347009,0.030807346,-1214.780587,0.199611707,-0.03585232,0.257676242,9.546857317,16.88480774,20.75933615,-7.337950422,-3.874528415,4.74,0.27000000000000046,1
267,4.42,-0.519068284,0.03623092,-1359.17055,0.181491522,-0.029563053,0.241092582,33.57461471,36.81673661,38.53784792,-3.242121901,-1.721111307,3.08,-1.3399999999999999,0
268,3.79,-0.486852842,0.035928287,-1369.099406,0.180744653,-0.029242449,0.243839925,29.27025515,33.76901941,36.26415777,-4.498764256,-2.495138358,3.21,-0.5800000000000001,0
271,4.75,-0.572029038,0.029459096,-1253.196922,0.194288178,-0.035693146,0.273066007,17.06446046,25.32024627,29.45128143,-8.255785817,-4.131035162,7.39,2.6399999999999997,1
272,5.29,-0.425702701,0.028994316,-1655.557511,0.176318766,-0.028805816,0.302042679,17.67179283,23.67250986,27.31353022,-6.00071703,-3.641020363,6.41,1.12,1
273,4.98,-0.507494377,0.028059421,-1330.88766,0.193114712,-0.035135206,0.291664654,36.54700378,36.02901879,36.38327541,0.517984988,-0.354256614,3.39,-1.5900000000000003,0
274,3.91,-0.685866031,0.034320557,-1291.463879,0.174605473,-0.029664969,0.238468181,37.73825476,42.28564723,42.52416713,-4.547392463,-0.238519901,2.7,-1.21,0
275,2.76,-0.788744923,0.036044987,-1417.668376,0.153331601,-0.02358063,0.213186994,30.93649668,37.59864681,38.90344428,-6.662150136,-1.304797468,3.33,0.5700000000000003,1
276,2.83,-0.500261251,0.048922844,-1410.086141,0.151912497,-0.021769709,0.213952175,35.56428787,37.28432002,38.48980867,-1.720032145,-1.205488653,3.57,0.7399999999999998,1
277,3.11,-0.510008899,0.046528775,-1481.798043,0.151353716,-0.021844443,0.225616656,27.30563557,34.56144805,37.90419457,-7.255812478,-3.342746518,3.76,0.6499999999999999,1
278,3.26,-0.511585576,0.04495996,-1532.653746,0.150854615,-0.021859066,0.234098793,30.00371042,35.87658943,38.08612929,-5.872879008,-2.209539859,2.24,-1.0199999999999996,0
279,5.27,-0.391130772,0.091202597,-5811.361125,0.075442237,-0.005353922,0.2211711,12.37522558,25.22498205,31.54948263,-12.84975647,-6.324500583,7.5,2.2300000000000004,1
280,4.87,-0.438640984,0.029482683,-1246.854281,0.18411203,-0.032802849,0.286948658,27.33455594,32.53520369,35.70794121,-5.200647749,-3.172737525,5.88,1.0099999999999998,1
281,5.17,-0.498320699,0.028891962,-1291.392751,0.183479112,-0.033390169,0.298197308,22.34649597,26.86176535,30.03834712,-4.515269382,-3.176581768,6.07,0.9000000000000004,1
285,4.47,-0.646073131,0.030672841,-1505.334057,0.167769909,-0.028829267,0.289023626,39.94231515,37.81094205,35.57745668,2.131373102,2.233485369,3.12,-1.3499999999999996,0
292,3.7,-0.61054238,0.037764327,-1262.35179,0.173493283,-0.028834497,0.23457981,18.47694315,27.31721409,31.74334946,-8.840270946,-4.426135367,4.99,1.29,1
293,2.83,-0.769561683,0.038856583,-1379.097564,0.152772965,-0.023307356,0.208161511,40.15652232,41.49353398,38.99762631,-1.33701166,2.495907669,3.4,0.5699999999999998,1
294,2.38,-0.523276576,0.0521399,-1323.202206,0.151503499,-0.021704334,0.201368592,27.55101686,34.75889585,38.04520654,-7.207878991,-3.286310686,2.9,0.52,1
295,2.36,-0.469609754,0.051935871,-1323.44081,0.15087969,-0.021370889,0.202222393,37.49956561,37.37804908,37.93308474,0.121516539,-0.555035664,2.85,0.4900000000000002,1
296,2.35,-0.488730276,0.055460647,-1244.396032,0.150476021,-0.021298602,0.190708847,29.19483368,35.84650447,38.84166074,-6.651670791,-2.995156275,2.83,0.48,1
297,2.33,-0.484654717,0.054729493,-1260.13292,0.150054309,-0.021246538,0.193648762,27.00511205,30.21474274,33.29751393,-3.209630696,-3.082771185,1.6,-0.73,0
298,5.16,-0.539964615,0.027753467,-1339.742145,0.181352407,-0.03360009,0.312941793,22.8370912,29.14785421,32.87088982,-6.310763007,-3.723035609,3.6,-1.56,0
308,3.37,-0.13143549,0.020501968,-1746.177262,0.146502971,-0.019554594,0.274386356,50.85739056,44.01438348,42.94925308,6.843007076,1.065130401,4.07,0.7000000000000002,1
309,3.3,-0.174509774,0.024617352,-1763.408202,0.146407127,-0.019870795,0.277281071,28.12295501,35.38454891,37.59449479,-7.2615939,-2.209945882,2.08,-1.2199999999999998,0
311,4.19,-0.330741607,0.029996671,-1121.496027,0.187122088,-0.031895948,0.254053644,25.29789982,39.11724495,46.05279368,-13.81934513,-6.935548729,5.35,1.1599999999999993,1
312,4.45,-0.405025046,0.031815515,-1135.994235,0.186682508,-0.032548763,0.257954624,19.3844074,28.25944492,34.13531363,-8.875037513,-5.875868712,3.05,-1.4000000000000004,0
313,4.04,-0.514853981,0.041091783,-1199.916842,0.170073054,-0.027509993,0.22746638,23.97671851,28.9441597,32.04073766,-4.967441186,-3.096577962,6.28,2.24,1
326,3.23,-0.614734001,0.040669834,-1170.366931,0.177440455,-0.029243204,0.212756094,27.65617823,35.32970847,38.71381775,-7.673530235,-3.384109279,3.38,0.1499999999999999,1
331,4.61,0.93154918,0.022285177,-1009.892163,0.158109658,0.02217668,0.145599459,47.75587018,44.49744608,44.37458483,3.258424094,0.122861253,5.74,1.13,1
332,4.52,-0.519264365,0.031323431,-1194.445059,0.19496149,-0.035091522,0.259746797,37.41133245,37.4484487,38.48677445,-0.037116246,-1.038325746,6.02,1.5,1
335,1.99,-0.412287748,0.058736594,-1144.257671,0.15540623,-0.021444762,0.170097052,17.63547821,27.79924232,34.65372951,-10.16376412,-6.854487188,2.41,0.42000000000000015,1
336,1.98,-0.476427186,0.061541065,-1121.213017,0.155240248,-0.021693106,0.166886301,15.60468763,24.12754706,30.58125204,-8.52285943,-6.453704984,2.39,0.41000000000000014,1
337,2.18,-0.491894916,0.059646697,-1159.149314,0.154733956,-0.021751119,0.173060851,9.889712457,18.46535102,25.34827656,-8.575638566,-6.882925539,2.66,0.48,1
338,2.31,-0.456778988,0.060175517,-1140.451831,0.154445941,-0.021524324,0.17059357,25.0714537,24.20504468,27.73176611,0.866409014,-3.526721426,2.8,0.48999999999999977,1
339,2.2,-0.537686686,0.057188542,-1206.274,0.154090772,-0.021949208,0.180811001,21.52241148,23.17504456,26.02273993,-1.652633077,-2.84769537,1.53,-0.6700000000000002,0
341,4.91,-0.687987185,0.029889312,-1478.280928,0.175394604,-0.030256576,0.271878134,22.19618334,32.42692801,36.41531068,-10.23074467,-3.988382663,5.93,1.0199999999999996,1
342,4.75,-0.528537998,0.030896109,-1209.462978,0.190163754,-0.034463005,0.26994996,39.63234522,41.46374948,42.64702264,-1.831404256,-1.183273168,5.18,0.4299999999999997,1
347,3.1,-0.51776404,0.042460166,-885.5312708,0.202950832,-0.035362029,0.185707881,15.31510258,27.09777793,32.89233801,-11.78267535,-5.794560081,3.94,0.8399999999999999,1
348,3.06,-0.467674258,0.041587682,-898.863734,0.202197673,-0.034816967,0.189151373,26.05640149,28.60655853,32.01854168,-2.550157038,-3.41198315,3.9,0.8399999999999999,1
349,3.5,-0.48201598,0.038791203,-965.9401255,0.20146575,-0.035042763,0.203884201,16.7413117,21.58105422,25.94789102,-4.839742522,-4.366836802,4.26,0.7599999999999998,1
350,3.65,-0.470133369,0.036138206,-1033.25883,0.200882497,-0.035050775,0.218602319,34.51953434,32.1653727,32.69564186,2.354161637,-0.530269157,2.54,-1.1099999999999999,0
352,1.86,-0.402312259,0.060205208,-1109.885453,0.163828993,-0.022430944,0.156588544,28.06663397,38.55912405,42.9166364,-10.49249008,-4.357512355,1.28,-0.5800000000000001,0
354,2.75,-0.402312259,0.060205208,-1109.885453,0.163828993,-0.022430944,0.156588544,13.35389327,23.11902033,28.52019329,-9.765127056,-5.401172967,3.35,0.6000000000000001,1
355,2.43,-0.515144814,0.050984069,-1355.601616,0.164491657,-0.023410065,0.190282022,29.84683105,34.28257742,36.17552286,-4.435746365,-1.892945445,4.23,1.8000000000000003,1
361,2.93,-0.208167965,0.032314023,-1079.223659,0.185734989,-0.027239865,0.187694919,24.75957099,28.9696623,34.18550721,-4.210091309,-5.215844915,1.99,-0.9400000000000002,0
363,2.19,-0.110923345,0.07540963,-3457.033728,0.083098963,-0.005433977,0.119589827,19.78472508,27.01833367,31.44122696,-7.233608593,-4.422893292,2.63,0.43999999999999995,1
364,2.23,-0.495174166,0.059140634,-1170.189911,0.166442876,-0.023309281,0.162486748,26.90400759,35.48454442,38.59707205,-8.58053683,-3.112527632,2.77,0.54,1
365,2.26,-0.491665281,0.057834872,-1195.923363,0.166011841,-0.02327035,0.166463304,14.18061937,23.9131434,29.15775366,-9.732524029,-5.244610258,3.65,1.3900000000000001,1
366,2.72,-0.613556105,0.05922221,-1735.160818,0.142915736,-0.017876749,0.181846253,37.24384025,38.11862446,38.42678642,-0.874784206,-0.308161959,3.34,0.6199999999999997,1
367,2.89,-0.502378314,0.048708215,-772.9335979,0.201213609,-0.034588781,0.163683896,30.71917101,36.33224389,38.09860519,-5.613072883,-1.766361293,3.57,0.6799999999999997,1
368,2.81,-0.518079341,0.048944809,-769.2889413,0.200621116,-0.034626024,0.163403438,26.92710159,33.01237816,36.19835821,-6.085276572,-3.185980055,3.39,0.5800000000000001,1
369,2.76,-0.507100376,0.048220248,-780.7653047,0.199891009,-0.034444458,0.16641103,28.09556439,34.36250578,36.94834975,-6.266941397,-2.585843973,1.93,-0.8299999999999998,0
371,5.14,-0.238893859,0.026246132,-3078.891435,0.142853008,-0.017582089,0.322094161,26.90313442,36.64798324,43.90290325,-9.744848818,-7.25492001,6.57,1.4300000000000006,1
372,5.45,-0.522820164,0.026735436,-1396.437289,0.204062075,-0.037253956,0.29032663,15.31532263,28.82839936,35.31887057,-13.51307673,-6.490471208,6.61,1.1600000000000001,1
373,5.54,-0.524061742,0.026497564,-1408.424266,0.202974213,-0.037133528,0.294365933,26.3631853,30.57573918,33.57241687,-4.212553877,-2.996677698,6.18,0.6399999999999997,1
375,3.96,-0.781864397,0.018329336,-2015.874898,0.181727878,-0.033567809,0.357432701,33.44777452,33.4843406,30.98873144,-0.036566076,2.495609155,4.77,0.8099999999999996,1
376,3.55,-0.516204087,0.036285462,-1357.906338,0.180534236,-0.029400857,0.242712996,41.64076649,41.49718438,40.84331043,0.143582112,0.653873954,4.27,0.7199999999999998,1
377,4.26,-0.48504093,0.036260283,-1356.477936,0.179801191,-0.029066466,0.243430374,22.46892704,30.84074503,35.38497077,-8.371817989,-4.544225742,2.94,-1.3199999999999998,0
378,2.2,-0.793950324,0.042487633,-1200.979699,0.159601779,-0.024147032,0.173921854,27.75203456,29.98988509,31.55620912,-2.237850524,-1.566324036,1.5,-0.7000000000000002,0
379,2.38,-0.685556003,0.183457383,-2722.726512,0.079330637,-0.005527864,0.098727742,22.25659925,29.88055694,34.153779,-7.623957689,-4.273222062,2.88,0.5,1
380,2.32,-0.473529143,0.053694481,-1282.649964,0.157607903,-0.022206235,0.187908571,26.89704344,29.21981458,31.97049158,-2.32277114,-2.750676994,4.16,1.8400000000000003,1
383,2.2,-0.794874547,0.043265971,-651.6078953,0.193831353,-0.035996544,0.143608103,28.34936208,31.01328458,31.55765348,-2.663922497,-0.544368903,2.7,0.5,1
384,2.4,-0.502257169,0.057085503,-660.2587771,0.192690984,-0.032875739,0.146184288,21.90001594,31.94564389,35.90591745,-10.04562795,-3.960273565,2.9,0.5,1
385,2.5,-0.495225417,0.053941743,-697.955282,0.192148738,-0.032844314,0.15486468,9.95662365,21.2643104,27.53117019,-11.30768675,-6.266859793,3.12,0.6200000000000001,1
386,2.84,-0.500242589,0.049123769,-765.9789078,0.191490224,-0.032993071,0.170378967,23.936755,29.17858744,31.08889062,-5.241832442,-1.910303177,1.92,-0.9199999999999999,0
388,2.43,0.982472056,0.01117672,-470.6775031,0.171436385,0.029798244,0.086409703,27.05524032,34.26801747,36.34853346,-7.21277715,-2.080515987,1.63,-0.8000000000000003,0
391,3.43,-0.192010369,0.07364469,-5105.125285,0.078624677,-0.005361154,0.186510631,36.08037396,38.03529498,40.52836715,-1.954921024,-2.493072165,4.34,0.9099999999999997,1
392,3.34,-0.52304483,0.040469793,-927.6904608,0.192544565,-0.033874519,0.20489492,23.47639267,33.76666339,37.88824832,-10.29027072,-4.121584926,2.26,-1.08,0
399,2.08,0.817186294,0.072037024,-461.1690465,0.184399907,0.028534378,0.078745713,23.00368647,29.46460902,33.20919532,-6.460922554,-3.744586296,2.61,0.5299999999999998,1
400,2.24,-0.484570142,0.057500438,-654.5281079,0.201489554,-0.034108222,0.138664643,20.13480202,26.18861179,29.77440155,-6.05380977,-3.585789764,2.79,0.5499999999999998,1
401,2.25,-0.496467949,0.059126934,-637.6633344,0.200951347,-0.034076985,0.135496846,34.88352483,37.72780459,38.32950669,-2.844279764,-0.601702094,2.72,0.4700000000000002,1
402,2.35,-0.502792558,0.05819069,-648.1145914,0.200395596,-0.034076539,0.138070948,27.85675049,33.4478913,35.63669185,-5.591140805,-2.188800555,2.62,0.27,1
412,2.15,-0.364482204,0.053619343,-863.1679698,0.185620174,-0.028009683,0.150526016,16.96635076,30.2831712,36.93810115,-13.31682044,-6.654929945,1.49,-0.6599999999999999,0
425,2.56,-0.548664055,0.062487785,-790.9133724,0.191172757,-0.029952755,0.134129667,25.11044083,32.71721102,36.68838463,-7.606770195,-3.971173602,4.07,1.5100000000000002,1
426,2.19,-0.370062234,0.053995485,-861.9229085,0.190753271,-0.028774141,0.146303646,34.19218481,39.19073346,40.89203227,-4.998548645,-1.701298811,2.7,0.5100000000000002,1
427,2.25,-0.433733075,0.056827354,-856.596794,0.190595525,-0.029192698,0.145549223,12.6909907,24.19590686,30.39175445,-11.50491616,-6.19584759,2.71,0.45999999999999996,1
428,2.26,-0.49266601,0.057989872,-854.2518974,0.190393612,-0.029573672,0.145327387,37.08362311,40.70231762,41.82980942,-3.618694502,-1.127491806,2.74,0.4800000000000004,1
429,2.44,-0.512158867,0.057465738,-862.7664506,0.189835073,-0.02964872,0.147196915,21.52013655,31.82749302,35.79546511,-10.30735647,-3.967972087,3.04,0.6000000000000001,1
430,2.18,-0.536542719,0.057713379,-857.3751064,0.189265378,-0.029727623,0.146730463,19.12036508,25.67489525,29.58429734,-6.554530177,-3.909402086,1.51,-0.6700000000000002,0
434,2.74,-0.987325157,0.009268497,-6773.368571,0.083623374,-0.006642258,0.23264251,27.96507809,33.36396689,35.65172066,-5.398888802,-2.287753766,3.3,0.5599999999999996,1
435,2.86,-0.482760076,0.046536496,-806.9478644,0.203308568,-0.034848481,0.169062518,31.52285621,34.27374705,36.28806323,-2.750890835,-2.014316179,4.25,1.3900000000000001,1
436,2.57,-0.458124697,0.071678173,-959.9362121,0.165884313,-0.022772174,0.133925107,32.76093323,34.52449996,36.89836311,-1.763566728,-2.373863148,3.18,0.6100000000000003,1
437,2.43,-0.548570809,0.055111348,-895.0880863,0.184939234,-0.029256917,0.156677929,16.60977069,25.04564598,29.34399975,-8.435875295,-4.298353771,1.62,-0.81,0
