,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,close price,win,win_loss
25,6.14,0.608322983,0.027901169,-2356.310844,0.159083145,0.01869711,0.338682583,69.61570321,64.3136365,61.14369626,5.302066715,3.169940241,-0.872,0.990822572,1.01010339,0.983840855,0.993780982,4.56,-1.58,0
26,4.42,0.617936676,0.046208618,-1027.676328,0.180292708,0.02529122,0.181218244,89.97107327,79.35573894,73.16545789,10.61533433,6.190281052,-2.284,1.349517675,1.014397804,0.992393288,1.006681572,3.25,-1.17,0
27,3.15,0.618640766,0.057279692,-832.0792366,0.180914768,0.025740047,0.145899134,83.42890252,73.04501385,66.05237375,10.38388868,6.992640096,-1.69,1.038881729,1.006619777,0.992365825,0.998935065,3.84,0.69,1
28,3.38,0.698033353,0.052695464,-825.2891877,0.18103541,0.026291968,0.144565314,92.29840355,81.95460098,73.7979654,10.34380257,8.156635587,-1.69,1.05857377,1.006619777,0.988775536,0.995321009,4.23,0.85,1
29,2.58,0.810187209,0.045455571,-741.5063521,0.180925314,0.027343449,0.129739521,79.43601388,73.15729414,70.34424487,6.278719743,2.813049271,-1.69,1.07240394,1.006619777,0.984245756,0.990761243,3.27,0.69,1
30,3.05,0.872186868,0.037536182,-689.9581369,0.180583212,0.028078856,0.120786633,62.24970757,64.43173552,65.02287259,-2.182027941,-0.591137077,-1.69,0.885514086,1.006619777,0.981547755,0.988045382,3.76,0.71,1
31,3.21,0.927646495,0.026614197,-637.6284459,0.179877082,0.028968478,0.111877171,84.38364805,73.28418983,68.24134657,11.09945822,5.042843268,-1.69,1.220941544,1.006619777,0.978567271,0.985045168,3.07,-0.14,0
32,4.24,-0.428307269,0.04885208,-1386.110182,0.161427879,-0.022619114,0.198408767,69.24175987,63.14963659,61.13059035,6.092123277,2.019046239,-2.493,1.121264957,1.000827939,0.991665215,0.992486254,2.9,-1.34,0
33,3.53,0.394563941,0.055904562,-865.0710387,0.186059835,0.025128499,0.14750803,79.39415508,72.44505083,65.5098028,6.949104254,6.93524803,-1.009,0.940896419,0.99112785,0.99197633,0.983175367,2.43,-1.1,0
34,2.92,0.293817205,0.062322106,-969.7433171,0.164846686,0.019639025,0.133729056,73.84239416,64.68571996,61.32147424,9.156674202,3.364245721,-0.617,1.104373165,1.004086115,0.991981963,0.996035315,2.57,-0.35,0
35,1.74,0.293817205,0.062322106,-969.7433171,0.164846686,0.019639025,0.133729056,75.61163732,67.41344558,63.6538208,8.198191741,3.75962478,1.594,1.441209572,0.996987059,0.99252396,0.989533544,2.11,0.37,1
36,2.12,0.584059393,0.093488752,-733.6033865,0.170238047,0.021861267,0.097530428,76.90309479,70.21895412,67.10508112,6.684140671,3.113873001,1.594,0.94297534,0.996987059,0.990896633,0.98791112,2.03,-0.09,0
37,2.86,0.867731318,0.041950654,-635.1991875,0.189347007,0.029567211,0.105743853,78.52530567,70.42375128,66.88768243,8.101554394,3.536068847,2.709,1.475502415,0.997214008,0.99234864,0.989583965,3.44,0.58,1
38,2.9,0.898878602,0.033958078,-646.0235802,0.189060191,0.029958371,0.107715959,87.18551693,79.38390092,75.29803486,7.801616011,4.085866061,2.709,1.115069489,0.997214008,0.990103562,0.987345141,2.75,-0.15,0
39,2.57,0.919900081,0.028737392,-640.1017544,0.186915216,0.029992625,0.107934012,65.54111266,61.73227914,60.95337265,3.808833519,0.778906486,-0.062,0.990490693,0.993977533,0.992461576,0.986484508,3.13,0.56,1
40,2.47,0.934290885,0.023966602,-657.2737271,0.186686823,0.030225109,0.111001009,74.40800939,71.95203325,69.45623252,2.455976145,2.495800725,-0.062,0.920924076,0.993977533,0.990624848,0.984658842,3.06,0.59,1
41,2.98,0.943759488,0.020333958,-683.6864625,0.186528532,0.030374846,0.115626417,72.64780738,68.77861708,67.4114191,3.869190305,1.367197973,-0.062,1.095784425,0.993977533,0.988770872,0.982816032,3.59,0.61,1
42,2.35,0.970862596,0.012695248,-638.0915694,0.185447637,0.031235963,0.108362115,74.20568183,70.00360334,68.55165816,4.202078494,1.451945178,-0.062,1.102141331,0.993977533,0.986253879,0.980314197,2.26,-0.09,0
43,3.38,-0.435364864,0.086885794,-787.2435126,0.170602399,-0.023041875,0.107362322,75.44734542,71.16095589,69.91606663,4.286389528,1.244889261,-0.684,0.971646116,0.995100298,0.992488986,0.987626086,3.11,-0.27,0
44,2.07,0.848873126,0.051674158,-567.9074426,0.192643341,0.030002758,0.092615945,77.11048162,71.15705545,68.26931907,5.953426171,2.887736384,-0.309,1.169759219,1.000747132,0.991848541,0.992589582,2.55,0.48,1
45,2.91,0.848873126,0.051674158,-567.9074426,0.192643341,0.030002758,0.092615945,84.3525803,76.27988542,72.56152377,8.07269488,3.718361645,0.14,0.981827352,0.998074377,0.990948014,0.989039822,3.5,0.59,1
46,2.74,0.703403669,0.071734772,-607.2944199,0.195018943,0.028902579,0.098033302,64.22036478,63.83131539,61.32766726,0.389049389,2.503648125,0.14,0.858565092,0.998074377,0.988601751,0.986698077,2.62,-0.12,0
